,review,label,count,review_nostop,nostop_count
1939,the building itself seems pretty neat the bathroom is pretty trippy but i wouldnt eat here again,0,17,building seems pretty neat bathroom pretty trippy wouldnt eat,9
1940,it was equally awful,0,4,equally awful,2
1941,probably not in a hurry to go back,0,8,probably hurry go back,4
1942,very slow at seating even with reservation,0,7,slow seating even reservation,4
1943,not good by any stretch of the imagination,0,8,good stretch imagination,3
1944,the cashew cream sauce was bland and the vegetables were undercooked,0,11,cashew cream sauce bland vegetables undercooked,6
1945,the chipolte ranch dipping sause was tasteless seemed thin and watered down with no heat,0,15,chipolte ranch dipping sause tasteless seemed thin watered heat,9
1946,it was a bit too sweet not really spicy enough and lacked flavor,0,13,bit sweet really spicy enough lacked flavor,7
1947,i was very disappointed,0,4,disappointed,1
1948,this place is horrible and way overpriced,0,7,place horrible way overpriced,4
1949,maybe its just their vegetarian fare but ive been twice and i thought it was average at best,0,18,maybe vegetarian fare ive twice thought average best,8
1950,it wasnt busy at all and now we know why,0,10,wasnt busy know,3
1951,the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu,0,23,tables outside also dirty lot time workers always friendly helpful menu,11
1952,the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits,0,21,ambiance feel like buffet setting douchey indoor garden tea biscuits,10
1953,con spotty service,0,3,con spotty service,3
1954,the fries were not hot and neither was my burger,0,10,fries hot neither burger,4
1955,but then they came back cold,0,6,came back cold,3
1956,then our food came out disappointment ensued,0,7,food came disappointment ensued,4
1957,the real disappointment was our waiter,0,6,real disappointment waiter,3
1958,my husband said she was very rude did not even apologize for the bad food or anything,0,17,husband said rude even apologize bad food anything,8
1959,the only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach,0,25,reason eat would fill night binge drinking get carbs stomach,10
1960,insults profound deuchebaggery and had to go outside for a smoke break while serving just to solidify it,0,18,insults profound deuchebaggery go outside smoke break serving solidify,9
1961,if someone orders two tacos dont you think it may be part of customer service to ask if it is combo or ala cart,0,24,someone orders two tacos dont think may part customer service ask combo ala cart,14
1962,she was quite disappointed although some blame needs to be placed at her door,0,14,quite disappointed although blame needs placed door,7
1963,after all the rave reviews i couldnt wait to eat herewhat a disappointment,0,13,rave reviews couldnt wait eat herewhat disappointment,7
1964,del taco is pretty nasty and should be avoided if possible,0,11,del taco pretty nasty avoided possible,6
1965,its not hard to make a decent hamburger,0,8,hard make decent hamburger,4
1966,but i dont like it,0,5,dont like,2
1967,hell no will i go back,0,6,hell go back,3
1968,weve have gotten a much better service from the pizza place next door than the services we received from this restaurant,0,21,weve gotten much better service pizza place next door services received restaurant,12
1969,i dont know what the big deal is about this place but i wont be back yaall,0,17,dont know big deal place wont back yaall,8
1970,i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar,0,29,immediately said wanted talk manager want talk guy shots fireball behind bar,12
1971,the ambiance isnt much better,0,5,ambiance isnt much better,4
1972,unfortunately it only set us up for disapppointment with our entrees,0,11,unfortunately set us disapppointment entrees,5
1973,the food wasnt good,0,4,food wasnt good,3
1974,your servers suck wait correction our server heimer sucked,0,9,servers suck wait correction server heimer sucked,7
1975,what happened next was prettyoff putting,0,6,happened next prettyoff putting,4
1976,too bad cause i know its family owned i really wanted to like this place,0,15,bad cause know family owned really wanted like place,9
1977,overpriced for what you are getting,0,6,overpriced getting,2
1978,i vomited in the bathroom mid lunch,0,7,vomited bathroom mid lunch,4
1979,i kept looking at the time and it had soon become  minutes yet still no food,0,16,kept looking time soon become minutes yet still food,9
1980,i have been to very few places to eat that under no circumstances would i ever return to and this tops the list,0,23,places eat circumstances would ever return tops list,8
1981,we started with the tuna sashimi which was brownish in color and obviously wasnt fresh,0,15,started tuna sashimi brownish color obviously wasnt fresh,8
1982,food was below average,0,4,food average,2
1983,it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant,0,21,sure beat nachos movies would expect little bit coming restaurant,10
1984,all in all ha long bay was a bit of a flop,0,12,ha long bay bit flop,5
1985,the problem i have is that they charge  for a sandwich that is no bigger than a subway sub which offers better and more amount of vegetables,0,27,problem charge sandwich bigger subway sub offers better amount vegetables,10
1986,shrimp when i unwrapped it i live only  a mile from brushfire it was literally ice cold,0,17,shrimp unwrapped live mile brushfire literally ice cold,8
1987,it lacked flavor seemed undercooked and dry,0,7,lacked flavor seemed undercooked dry,5
1988,it really is impressive that the place hasnt closed down,0,10,really impressive place hasnt closed,5
1989,i would avoid this place if you are staying in the mirage,0,12,would avoid place staying mirage,5
1990,the refried beans that came with my meal were dried out and crusty and the food was bland,0,18,refried beans came meal dried crusty food bland,8
1991,spend your money and time some place else,0,8,spend money time place else,5
1992,a lady at the table next to us found a live green caterpillar in her salad,0,16,lady table next us found live green caterpillar salad,9
1993,the presentation of the food was awful,0,7,presentation food awful,3
1994,i cant tell you how disappointed i was,0,8,cant tell disappointed,3
1995,i think food should have flavor and texture and both were lacking,0,12,think food flavor texture lacking,5
1996,appetite instantly gone,0,3,appetite instantly gone,3
1997,overall i was not impressed and would not go back,0,10,overall impressed would go back,5
1998,the whole experience was underwhelming and i think well just go to ninja sushi next time,0,16,whole experience underwhelming think well go ninja sushi next time,10
1999,then as if i hadnt wasted enough of my life there they poured salt in the wound by drawing out the time it took to bring the check,0,28,hadnt wasted enough life poured salt wound drawing time took bring check,12
2000,a very very very slowmoving aimless movie about a distressed drifting young man  ,0,13,slowmoving aimless movie distressed drifting young man,7
2001,not sure who was more lost  the flat characters or the audience nearly half of whom walked out  ,0,18,sure lost flat characters audience nearly half walked,8
2002,attempting artiness with black  white and clever camera angles the movie disappointed  became even more ridiculous  as the acting was poor and the plot and lines almost nonexistent  ,0,28,attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost nonexistent,18
2003,very little music or anything to speak of  ,0,8,little music anything speak,4
2004,the best scene in the movie was when gerardo is trying to find a song that keeps running through his head  ,1,21,best scene movie gerardo trying find song keeps running head,10
